Quarter,Price,Quarter Number,Year,Time from Start
Q1 2557,0.37,1,2557,0
Q2 2557,0.39,2,2557,1
Q3 2557,0.39,3,2557,2
Q4 2557,0.44,4,2557,3
Q1 2558,0.83,1,2558,4
Q2 2558,0.96,2,2558,5
Q3 2558,0.94,3,2558,6
Q4 2558,0.81,4,2558,7
Q1 2559,1.46,1,2559,8
Q2 2559,1.17,2,2559,9
Q3 2559,1.36,3,2559,10
Q4 2559,1.4,4,2559,11
Q1 2560,2.26,1,2560,12
Q2 2560,2.24,2,2560,13
Q3 2560,2.25,3,2560,14
Q4 2560,1.89,4,2560,15
Q1 2561,2.62,1,2561,16
Q2 2561,2.25,2,2561,17
Q3 2561,2.68,3,2561,18
Q4 2561,2.67,4,2561,19
Q1 2562,3.94,1,2562,20
Q2 2562,3.84,2,2562,21
Q3 2562,2.73,3,2562,22
Q4 2562,3.01,4,2562,23
Q1 2563,2.87,1,2563,24
Q2 2563,4.89,2,2563,25
Q3 2563,13.87,3,2563,26
Q4 2563,40.97,4,2563,27
Q1 2564,29.73,1,2564,28
Q2 2564,51.38,2,2564,29
Q3 2564,42.94,3,2564,30
Q4 2564,37.8,4,2564,31
Q1 2565,36.95,1,2565,32
Q2 2565,32.36,2,2565,33
Q3 2565,62.61,3,2565,34
Q4 2565,79.45,4,2565,35
Q1 2566,114.2,1,2566,36
Q2 2566,92,2,2566,37
Q3 2566,82.75,3,2566,38
Q4 2566,88,4,2566,39
Q1 2567,74.5,1,2567,40
Q2 2567,83.5,2,2567,41
